"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Slfn1",277.987539245299,0.787033676378833,0.175367832260069,4.48790217815814,7.19279400326701e-06,0.0014734786554112
"Slfn2",2119.19662615432,1.23152346597708,0.0878076920804373,14.0252344276277,1.09250535086622e-44,1.38759104613519e-40
"Slfn8",140.564365421079,-0.980460025893826,0.248937491412054,-3.93857920047455,8.19655384590903e-05,0.0122293622258542
"Socs1",2851.81141399211,-0.348241655284508,0.0776845218041687,-4.48276757321585,7.36811676698748e-06,0.00148543573107156
"Socs2",852.738800997207,-0.656490945909344,0.109539268030269,-5.99320186919575,2.05749183508756e-09,8.71073459914903e-07
"Taf15",535.491835047284,0.566975656419413,0.157109231811617,3.60879911308616,0.000307617694833906,0.0390705234208544
"Tfrc",17289.1828376618,0.24275986376163,0.058386300573955,4.15782232090793,3.21295762801572e-05,0.00566774650464273
"Tgm1",226.306802966281,-0.824645987445334,0.196415878804858,-4.19846904671405,2.68725576107961e-05,0.00509415454051823
"Tgm2",17050.6311351916,-0.34276943955525,0.0642278042641871,-5.33677654844532,9.461352069657e-08,3.00421581591784e-05
"Thra",622.693480265804,-1.0026546149353,0.127828852430478,-7.84372695108568,4.37367569843384e-15,4.27308115736986e-12
"Timd2",438.805059795595,0.752451792836296,0.148511345058066,5.0666283612346,4.04923734752976e-07,0.000116884917161308
"Timp1",1940.97278988746,-0.45458947215725,0.0856312279348189,-5.30868799993474,1.10417156500642e-07,3.42050806027965e-05
"Tlcd2",284.74368640645,1.25942357858067,0.17741542118866,7.09872665038188,1.25911564497693e-12,6.95305556819651e-10
"Tmem176a",1680.83269857675,0.363188853994015,0.0911516156963806,3.98444779304594,6.76372244385917e-05,0.0106056837974636
"Tmem176b",1621.36149346112,0.431453856064252,0.0955931105586658,4.51344091161745,6.37842260996948e-06,0.00132807123883971
"Tnfsf11",774.253253640259,0.733418976353376,0.123650230108826,5.93140001201683,3.00362454256721e-09,1.19215735359832e-06
"Traip",592.06975700715,0.480950538372057,0.125315399859405,3.83792047036237,0.000124080652385694,0.0173036662185522
"Ubtd1",658.532014713535,-0.433070272131437,0.121534417821525,-3.56335497297077,0.000366145020158414,0.0442895990574478
"Uty",291.597467795666,11.6830261371701,1.45276930425003,8.04190046072131,8.84557340063274e-16,1.02134207055851e-12
"Wfikkn2",33.2545936142893,-2.11620312143908,0.550377660945023,-3.84500184437984,0.000120551531789217,0.0171658668782652
"Xist",2179.65878242058,-11.4551817642219,0.836570068118894,-13.6930332565925,1.11745238657994e-42,7.0963813809759e-39
"Yap1",180.812247602821,-1.33333532709555,0.234162270677689,-5.69406558638477,1.24049396200918e-08,4.50157537470816e-06
"Znrf2",2971.64125026139,-0.431433195578974,0.0799072940406506,-5.39917163706601,6.69493001311107e-08,2.23769226569799e-05
