"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","ensembl"
"Rcc2",11443.9451540661,-0.0400256380248311,0.0646027600807916,-0.61956544851606,0.535543920229805,0.999813356907188,"108911","ENSMUSG00000040945"
"Agap3",1741.90315706377,0.0536894620236779,0.0866720383992351,0.619455397787803,0.535616396086139,0.999813356907188,"213990","ENSMUSG00000023353"
"Gm25617",4.95802993861327,-0.785859844809419,1.26875838632944,-0.619392827883439,0.53565760480814,NA,NA,NA
"Nop58",4265.12112466439,0.0423585456798573,0.0684111508280283,0.619176043191234,0.535800392192226,0.999813356907188,"55989","ENSMUSG00000026020"
"Rims2",6.69299847432947,-0.6608547622757,1.06737742922151,-0.619138782761873,0.535824936073423,NA,"116838","ENSMUSG00000037386"
"Bcdin3d",218.980180305782,0.121319491361882,0.195957112663393,0.619112466564456,0.535842271202043,0.999813356907188,"75284","ENSMUSG00000037525"
"Ttc39c",869.672778236902,0.0664500422715235,0.107352440636056,0.618989581213168,0.535923222553846,0.999813356907188,"72747","ENSMUSG00000024424"
"Vwa1",489.914214351708,0.0853062894806127,0.137826965717665,0.618937586243903,0.535957476358979,0.999813356907188,"246228","ENSMUSG00000042116"
"H2afx",8641.49146210362,-0.11113240037919,0.17962515613912,-0.618690626457231,0.536120186234978,0.999813356907188,"15270","ENSMUSG00000049932"
"BC026585",114.974100456636,0.163053146019103,0.26355820870645,0.618660852262472,0.536139804693468,0.999813356907188,NA,NA
"Slc38a6",89.2379051057777,-0.201072131346213,0.325018582664375,-0.618648108357074,0.53614820186657,0.999813356907188,"625098","ENSMUSG00000044712"
"Exosc10",2602.09029289509,0.0486369383295456,0.0786320523765928,0.618538329593745,0.53622053967711,0.999813356907188,"50912","ENSMUSG00000017264"
"Izumo1",4.04154073151615,0.841887348841991,1.36144804127223,0.618376407560345,0.536327245831111,NA,"73456","ENSMUSG00000064158"
"5330417C22Rik",4.93589642355288,-0.798008404448245,1.29050145315652,-0.61837079105672,0.536330947282584,NA,"229722","ENSMUSG00000040412"
"Wdr62",413.556718123374,0.0895466112213878,0.144812263655275,0.618363451831351,0.536335784080917,0.999813356907188,"233064","ENSMUSG00000037020"
"Ist1",1461.28202878304,0.0573809005029049,0.0928105462874626,0.618258407026058,0.536405014574243,0.999813356907188,"71955","ENSMUSG00000031729"
"Mgat2",1394.11745695589,0.0608026288294519,0.0983486191805895,0.618235714299202,0.536419970960809,0.999813356907188,"217664","ENSMUSG00000043998"
"Sgsh",385.8080317303,-0.0938286038692789,0.151824098597122,-0.618008634572966,0.536569646863452,0.999813356907188,"27029","ENSMUSG00000005043"
"Arrdc2",471.548506670589,-0.0923075431202017,0.149366656031825,-0.61799296826016,0.536579973833022,0.999813356907188,"70807","ENSMUSG00000002910"
"Gm37039",39.9860803004902,-0.280763740511917,0.454334769802058,-0.617966660650337,0.536597315591294,0.999813356907188,NA,NA
"Gm10640",8.42939109866473,-0.588820375342584,0.952979827796145,-0.617872863798477,0.536659147992847,NA,"100038516","ENSMUSG00000100985"
"Rhoc",267.152640167384,-0.109140947469646,0.176646233025607,-0.617850409829143,0.53667395054417,0.999813356907188,"11853","ENSMUSG00000002233"
"Chdh",27.8543276340585,0.338040766546277,0.547188199421701,0.617777881364286,0.536721765601246,0.999813356907188,"218865","ENSMUSG00000015970"
"Fam122a",128.219694220975,0.171601849954836,0.277870829859039,0.617559785033528,0.536865560518939,0.999813356907188,"68034","ENSMUSG00000074922"
"Gm43545",2.45899961287742,-1.12426376335349,1.82089684234043,-0.617423094604558,0.536955692903955,NA,NA,NA
"Gale",1321.10007527871,-0.0593535739186152,0.0961550782988105,-0.617269258875425,0.537057139837032,0.999813356907188,"74246","ENSMUSG00000028671"
"Calr",10865.380220716,-0.0438095077368795,0.0709735049538816,-0.617265665058345,0.537059509893968,0.999813356907188,"12317","ENSMUSG00000003814"
"Lefty1",13.6668735374135,-0.480985132552153,0.779334963089114,-0.617173815281727,0.537120084933719,0.999813356907188,"13590","ENSMUSG00000038793"
"Nid2",6.31000411956765,0.692464075897358,1.12247508534703,0.616908192383865,0.537295282882585,NA,"18074","ENSMUSG00000021806"
"Prcc",1544.46227726406,0.060871617499997,0.0986882909366411,0.616806886838046,0.537362108947063,0.999813356907188,"94315","ENSMUSG00000004895"
"Ankrd42",14.6491139231831,-0.442693974670791,0.717830253983961,-0.616711224156182,0.537425216537475,0.999813356907188,"73845","ENSMUSG00000041343"
"Epn2",268.876749759233,-0.110513233975024,0.179288184453263,-0.616399983702397,0.537630564109188,0.999813356907188,"13855","ENSMUSG00000001036"
"Commd3",1433.38634390132,0.0566564456831302,0.0919749284782766,0.61599880120061,0.537895310999329,0.999813356907188,"12238","ENSMUSG00000051154"
"Gng5",920.134357729194,-0.0648996608313229,0.10536322540004,-0.615961219722665,0.537920114983241,0.999813356907188,"14707","ENSMUSG00000068523"
"Gm9910",3.51603352552486,0.940005559103677,1.52617159821914,0.615923897548973,0.537944748393165,NA,"791371",NA
"Zscan21",458.757072874148,-0.0902833599630169,0.146632137966663,-0.61571331643233,0.538083746915024,0.999813356907188,"22697","ENSMUSG00000037017"
"Asun",1497.67061203009,0.0576194075012696,0.093625707716718,0.615422931441094,0.538275451235236,0.999813356907188,NA,NA
"Aimp1",2750.37846342079,-0.049310972787763,0.080143887619815,-0.615280519229157,0.538369480449796,0.999813356907188,"13722","ENSMUSG00000028029"
"Ndor1",982.501288738504,0.0630892856121622,0.102543483189306,0.615244222742979,0.538393446917918,0.999813356907188,"78797","ENSMUSG00000006471"
"Gm43961",8.42470320548061,-0.591616323197661,0.961911185498466,-0.615042565381006,0.538526610455399,NA,NA,NA
"Gm26387",15.8175901332429,0.425074604402914,0.691354057534097,0.614843580898416,0.538658025159018,0.999813356907188,NA,NA
"Pola1",3074.58615251852,0.0448406328255741,0.0729440645193554,0.614726271712975,0.538735506833805,0.999813356907188,"18968","ENSMUSG00000006678"
"Rnf168",985.176761739481,0.0691351416802325,0.112472537300606,0.614684645154349,0.53876300214915,0.999813356907188,"70238","ENSMUSG00000014074"
"9430015G10Rik",957.926746988488,-0.0644417994864954,0.104840893389898,-0.61466282290098,0.538777416538868,0.999813356907188,"230996","ENSMUSG00000059939"
"Fam184b",14.7806984696922,0.442356696194924,0.719755503327654,0.61459300297083,0.538823536433594,0.999813356907188,"58227","ENSMUSG00000015879"
"Rab25",3.69439202731356,-0.90694639991114,1.47572548493201,-0.614576633101192,0.538834349917075,NA,"53868","ENSMUSG00000008601"
"Mettl14",571.148814426026,0.0792913507917104,0.129042776516624,0.614457879255995,0.538912798682418,0.999813356907188,"210529","ENSMUSG00000028114"
"Btnl9",2.46890916433144,-1.11711233280338,1.81877934278809,-0.614209929991237,0.539076612368284,NA,"237754","ENSMUSG00000040283"
"Pabpc1l",10.031148194272,0.534351311674598,0.870250044369316,0.61402043600222,0.539201822981006,NA,"381404","ENSMUSG00000054582"
"Gm12631",3.69249324248814,-0.906051044685325,1.47584738874021,-0.613919197606695,0.539268723536232,NA,NA,NA
"B130034C11Rik",14.1754098177349,-0.457826409331969,0.745822493242439,-0.613854386908584,0.539311554052027,0.999813356907188,"414095","ENSMUSG00000093606"
"Ptrhd1",253.426487054257,0.117846251285592,0.19213930362804,0.613337558013268,0.539653164311347,0.999813356907188,"69709","ENSMUSG00000096199"
"Sh3gl3",23.5516009869626,0.347006524102989,0.565777633865147,0.613326691146116,0.539660348186475,0.999813356907188,"20408","ENSMUSG00000030638"
"Pole4",1103.98107402303,0.061178549900286,0.0997659827226395,0.613220541017164,0.539730524496212,0.999813356907188,"66979","ENSMUSG00000030042"
"Star",32.8203733536943,-0.295018259781021,0.481110423099451,-0.613202802550876,0.539742251918541,0.999813356907188,"20845","ENSMUSG00000031574"
"Gm44008",8.40678288739799,-0.59540199041675,0.971015052010923,-0.613174831001541,0.539760744992534,NA,NA,NA
"Cdca5",1220.83116611019,-0.058481897072705,0.0953801902423206,-0.613145108267527,0.539780396190098,0.999813356907188,"67849","ENSMUSG00000024791"
"A430027C01Rik",4.03447935730025,0.83839741245181,1.36757695234914,0.613053189446973,0.539841170621612,NA,"97545",NA
"Gm19412",6.79171899164452,0.642394708580864,1.04812256439587,0.612900371008742,0.539942217941281,NA,"100502849","ENSMUSG00000101438"
"Ccdc102a",95.9193111403052,-0.175973121965376,0.287236861190553,-0.612641153492607,0.540113640597708,0.999813356907188,"234582","ENSMUSG00000063605"
"Kif22",2161.8989647534,0.0496834902895789,0.0811039339762057,0.612590386850471,0.540147216180305,0.999813356907188,"110033","ENSMUSG00000030677"
"Raly",7345.42286342766,-0.0415530871048051,0.0678390273515332,-0.612524806546566,0.540190590634211,0.999813356907188,"19383","ENSMUSG00000027593"
"Snord15b",477.614164033196,-0.0858001312765854,0.140131140098353,-0.612284544437197,0.540349513561768,0.999813356907188,"449631","ENSMUSG00000064966"
"Psmc3",4661.91930569092,0.0479269984556514,0.078279419739757,0.612255412916787,0.540368784383942,0.999813356907188,"19182","ENSMUSG00000002102"
"Cep78",424.063823826105,0.0928657311631724,0.151684022946594,0.612231462214511,0.540384628295218,0.999813356907188,"208518","ENSMUSG00000041491"
"Slc35e2",934.966579571442,0.0651904508645632,0.106489284233196,0.612178505414736,0.540419661196577,0.999813356907188,"320541","ENSMUSG00000042202"
"Gm37699",27.2552994397907,0.336044343385568,0.54893548197949,0.612174571360872,0.540422263765494,0.999813356907188,NA,NA
"Maf",1672.27601437593,0.0606809564155894,0.0991338865523194,0.612111141063395,0.540464226872789,0.999813356907188,"17132","ENSMUSG00000055435"
"Usb1",845.444073881524,0.0663593754568281,0.108435354721678,0.611971765363367,0.540556438334965,0.999813356907188,"101985","ENSMUSG00000031792"
"Apol8",8.42891640245838,-0.588703446355423,0.961979463824547,-0.611970908417225,0.540557005317931,NA,"239552","ENSMUSG00000056656"
"Nup133",2492.21600387753,0.0475801123315852,0.0777493195577642,0.611968215313259,0.540558787163554,0.999813356907188,"234865","ENSMUSG00000039509"
"Mafk",808.29364524613,-0.0686320861923772,0.112179107190379,-0.61180809788316,0.540664731366979,0.999813356907188,"17135","ENSMUSG00000018143"
"Il6ra",1782.25266869744,-0.0514705707721808,0.0841349803867285,-0.611761844307743,0.54069533770123,0.999813356907188,"16194","ENSMUSG00000027947"
"Angptl2",634.533014739831,-0.0750395613545755,0.122673493312836,-0.611701512104274,0.540735261269764,0.999813356907188,"26360","ENSMUSG00000004105"
